,Name,Sector,City,Address,Phone,Email,Lat-Long
5069,Jay Institute of Nursing,College,Pune,"Road No. 60, Indapur, Maharashtra 413106",,,"18.1230437,75.0287243"
5070,R. C. Maruti Adhyapak Vidyalaya,College,Mumbai,"4VG8+397, Mahakali Caves Rd, Subhash Nagar, Andheri(E, Mumbai, Maharashtra 400093",,,"19.1251638,72.8633625"
5071,"Institute of Business Management and Research, Wakad",College,Mumbai,"Near, Survey No. 130, Mumbai-Bangalore Highway, Bhumkar Chowk, Wakad, Pune, Maharashtra 411057",,,"18.6039182,73.7521784"
5072,Infoway Technologies Pvt. Ltd.,College,Pune,"3rd Floor, Commerce Centre, Paud Rd, opposite Krishna Hospital, Rambaug Colony, Kothrud, Pune, Maharashtra 411038",,,"18.5097488,73.8099822"
5073,Kaiser College of Commerce,College,Mumbai,"3R5W+H2P, Kherwadi, Bandra East, Mumbai, Maharashtra 400051",,,"19.058963,72.8424981"
5074,Smt. D.Y. Sawant Nursing (R.A.N.M.) School,College,Mumbai,,,,
5075,Learning Forums,College,Mumbai,,,,
5076,AAEMF's Delight Institute of Pharmacy,College,Pvt,"Sharad Campus, Pimple Jagtap, Road, Koregaon Bhima, Maharashtra 412216",,,"18.6457637,74.0399293"
5077,"Zee Institute of Creative Art, Borivali",College,Mumbai,"Showroom 3, 2nd Floor, Thakkar Shopping Centre, Swami Vivekananda Rd, Gyan Nagar, Mhatre Wadi, Borivali West, Mumbai, Maharashtra 400092",,,"19.2276929,72.8527116"
5078,Pune District Education Association S Institute of Technology,College,Pune,,,,
5079,The Foundation for Medical Research,College,Mumbai,"Dr. Kantilal J Sheth Memorial Building, 84-A, Dr RG Thadani Marg, Siddharth Nagar, Worli, Mumbai, Maharashtra 400018",,,"19.0031543,72.8107928"
5080,"Indian Institute of Hardware Technology, Pune",College,Pune,,,,
5081,TrueStyle’z Hair And Beauty Academy,College,Mumbai,"F1, First Floor, Ganga Girja Niwas, Akash Talkies Ln, next to Bata Showroom, Kurla West, Kurla, Mumbai, Maharashtra 400070",,,"19.0668027,72.8762535"
5082,"JVM's Diwalimaa Degree College of Science, Dr. R. T. Doshi College of Computer Science and IT",College,Mumbai,"25, Dr SS Rao Marg, Ganesh Gully, Parel, Mumbai, Maharashtra 400012",,,"18.9985341,72.8384006"
5083,Adv. V.B. Deshpande College of Commerce,College,Mumbai,"5WFR+2XQ, V P Road, Mulund West, near to Station, Mumbai, Maharashtra 400080",,,"19.172592,72.9399072"
5084,Jethro College of Distance Education,College,Mumbai,"4/724, Sadguru Society, Gaikwad Nagar, Malvani, Malad West, Mumbai, Maharashtra 400095",,,"19.1783496,72.813332"
5085,"Arena Animation, Vashi",College,Mumbai,"Shiv Center Building, 301-A, above Vishwajyot Hotel, opp. Saint Lawrence School Marg, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703",,,"19.0736103,72.9990711"
5086,"Institute of Management and Research, Haveli",College,Pune,,,,
5087,"Pro International Beauty and Skill School, Mulund West",College,Mumbai,"505, 506, First Floor, Munshi Estate, MG Road, near Pratap Bank, Chandraprabha Chs, Mulund, Mulund West, Mumbai, Maharashtra 400080",,,"19.1759618,72.9496238"
5088,"Aptech Aviation Academy, Borivali West",College,Mumbai,"BUILDING , 1ST FLOOR, Ganesh Nivas, Swami Vivekananda Rd, above CENTRAL BANK OF INDIA, opposite BHARAT PETROLEUM, Pai Nagar, Borivali West, Mumbai, Maharashtra 400092",,,"19.2340006,72.854397"
5089,"Janai Institute of Bachelor Of Business Administration, Pune",College,Pune,,,,
